MainIsland,Region,Province,LegislativeDistrict,Municipality,DistrictEngineeringOffice,ProjectId,TypeOfWork,FundingYear,ContractId, ApprovedBudgetFor , ContractCost ,ActualCompletionDate,Contractor1,Contractor2,Contractor3,ContractorCount,StartDate,ProvincialCapital
Luzon,Cordillera Administrative Region,Apayao,Apayao (Legislative District),Conner (Apayao),Apayao 1st District Engineering Office,P00726398LZ,Construction of Revetment,2023,23PB0009," ?72,375,000.00 "," ?72,375,000.00 ",12/14/2023,Asc Construction & Concrete Products,,,1,2/12/2023,Kabugao
Luzon,Cordillera Administrative Region,Apayao,Apayao (Legislative District),Conner (Apayao),Apayao 1st District Engineering Office,P00726655LZ,Construction of Revetment,2023,23PB0001," ?24,500,000.00 "," ?24,500,000.00 ",6/22/2023,Gka Engineering And Construction,,,1,2/12/2023,Kabugao
Luzon,Cordillera Administrative Region,Apayao,Apayao (Legislative District),Conner (Apayao),Apayao 1st District Engineering Office,P00740313LZ,Construction of Flood Mitigation Structure,2023,23P00020," ?115,793,907.83 "," ?115,800,000.00 ",2/29/2024,Jomarcann General Construction , Rodekom General Construction And Enterprise,,2,4/12/2023,Kabugao
Luzon,Cordillera Administrative Region,Apayao,Apayao (Legislative District),Calanasan (Bayag) (Apayao),Apayao 2nd District Engineering Office,P00620989LZ,Construction of Flood Mitigation Structure,2022,22PC0034," ?49,000,000.00 "," ?49,000,000.00 ",12/12/2022,Asc Construction & Concrete Products,,,1,2/9/2022,Kabugao
Luzon,Cordillera Administrative Region,Apayao,Apayao (Legislative District),Calanasan (Bayag) (Apayao),Apayao 2nd District Engineering Office,P00640502LZ,Construction of Flood Mitigation Structure,2022,22PC0063," ?6,930,000.00 "," ?6,827,260.01 ",9/15/2023,E.C.V. Construction,,,1,3/25/2022,Kabugao
Luzon,Cordillera Administrative Region,Apayao,Apayao (Legislative District),Calanasan (Bayag) (Apayao),Apayao 2nd District Engineering Office,P00620990LZ,Construction of Flood Mitigation Structure,2022,22PC0068," ?49,000,000.00 "," ?47,169,843.01 ",11/15/2023,Asc Construction & Concrete Products,,,1,8/9/2022,Kabugao
Luzon,Cordillera Administrative Region,Apayao,Apayao (Legislative District),Calanasan (Bayag) (Apayao),Apayao 2nd District Engineering Office,P00735962LZ,Construction of Flood Mitigation Structure,2023,23PC0038," ?96,500,000.00 "," ?96,500,000.00 ",2/7/2024,Tagel Corporation,,,1,3/23/2023,Kabugao
Luzon,Cordillera Administrative Region,Apayao,Apayao (Legislative District),Calanasan (Bayag) (Apayao),Apayao 2nd District Engineering Office,P00735961LZ,Construction of Flood Mitigation Structure,2023,23PC0046," ?96,500,000.00 "," ?96,500,000.00 ",3/11/2024,Tagel Corporation , E.C.V. Construction,,2,4/5/2023,Kabugao
Luzon,Cordillera Administrative Region,Apayao,Apayao (Legislative District),Calanasan (Bayag) (Apayao),Apayao 2nd District Engineering Office,P00735965LZ,Construction of Flood Mitigation Structure,2023,23PC0037," ?96,500,000.00 "," ?93,386,847.09 ",3/15/2024,Tagel Corporation , Aquila Construction Co.,,2,6/22/2023,Kabugao
Luzon,Cordillera Administrative Region,Apayao,Apayao (Legislative District),Pudtol (Apayao),Apayao 2nd District Engineering Office,P00620802LZ,Construction of Flood Mitigation Structure,2022,22PC0014," ?82,025,000.00 "," ?79,576,285.45 ",7/31/2023,Asc Construction & Concrete Products , Isnag Builders & Dev'T. Corporation,,2,3/31/2022,Kabugao
Luzon,Cordillera Administrative Region,Apayao,Apayao (Legislative District),Pudtol (Apayao),Apayao 2nd District Engineering Office,P00726399LZ,Construction of Flood Mitigation Structure,2023,23PC0029," ?96,500,000.00 "," ?96,481,880.32 ",4/3/2024,Tagel Corporation,,,1,5/5/2023,Kabugao
Luzon,Cordillera Administrative Region,Apayao,Apayao (Legislative District),Santa Marcela (Apayao),Apayao 2nd District Engineering Office,P00620807LZ,Construction of Flood Mitigation Structure,2022,22PC0007," ?77,200,000.00 "," ?77,189,689.42 ",3/20/2023,Asc Construction & Concrete Products,,,1,3/31/2022,Kabugao
Luzon,Cordillera Administrative Region,Apayao,Apayao (Legislative District),Santa Marcela (Apayao),Apayao 2nd District Engineering Office,P00726402LZ,Construction of Flood Mitigation Structure,2023,23PC0027," ?96,500,000.00 "," ?96,483,381.66 ",12/15/2023,Asc Construction & Concrete Products,,,1,4/5/2023,Kabugao
Luzon,Cordillera Administrative Region,Apayao,Apayao (Legislative District),Santa Marcela (Apayao),Apayao 2nd District Engineering Office,P00726401LZ,Construction of Flood Mitigation Structure,2023,23PC0034," ?86,850,000.00 "," ?83,452,531.58 ",12/15/2023,Asc Construction & Concrete Products,,,1,4/14/2023,Kabugao
Luzon,Cordillera Administrative Region,Apayao,Apayao (Legislative District),Luna (Apayao),Apayao 2nd District Engineering Office,P00620810LZ,Construction of Flood Mitigation Structure,2022,22PC0056," ?82,025,000.00 "," ?79,564,241.95 ",10/9/2023,Asc Construction & Concrete Products,,,1,3/31/2022,Kabugao
Luzon,Cordillera Administrative Region,Apayao,Apayao (Legislative District),Luna (Apayao),Apayao 2nd District Engineering Office,P00735964LZ,Construction of Flood Mitigation Structure,2023,23PC0040," ?96,500,000.00 "," ?96,500,000.00 ",7/10/2024,Asc Construction & Concrete Products,,,1,4/25/2023,Kabugao
Luzon,Cordillera Administrative Region,Apayao,Apayao (Legislative District),Luna (Apayao),Apayao 2nd District Engineering Office,P00726400LZ,Construction of Flood Mitigation Structure,2023,23PC0032," ?96,500,000.00 "," ?96,493,463.88 ",3/20/2024,Isnag Builders & Dev'T. Corporation , Tagel Corporation,,2,5/5/2023,Kabugao
Luzon,Cordillera Administrative Region,Apayao,Apayao (Legislative District),Luna (Apayao),Apayao 2nd District Engineering Office,P00742287LZ,Construction of Flood Mitigation Structure,2023,23PC0066," ?14,700,000.00 "," ?14,243,240.81 ",2/27/2024,Asc Construction & Concrete Products,,,1,5/30/2023,Kabugao
Luzon,Cordillera Administrative Region,Apayao,Apayao (Legislative District),Kabugao (Capital) (Apayao),Apayao 1st District Engineering Office,P00620987LZ,Construction of Flood Mitigation Structure,2022,22PB0018," ?23,871,900.80 "," ?23,872,800.00 ",11/28/2022,Tagel Corporation,,,1,4/4/2022,Kabugao
Luzon,Cordillera Administrative Region,Apayao,Apayao (Legislative District),Kabugao (Capital) (Apayao),Apayao 1st District Engineering Office,P00637064LZ,Construction of Flood Mitigation Structure,2022,22PB0024," ?24,499,413.08 "," ?24,500,000.00 ",3/28/2023,Omengan Construction & Development Corporation,,,1,4/4/2022,Kabugao
Luzon,Cordillera Administrative Region,Apayao,Apayao (Legislative District),Kabugao (Capital) (Apayao),Apayao 1st District Engineering Office,P00637065LZ,Construction of Flood Mitigation Structure,2022,22PB0023," ?24,499,866.44 "," ?24,500,000.00 ",4/30/2023,Omengan Construction & Development Corporation,,,1,5/3/2022,Kabugao
Luzon,Cordillera Administrative Region,Apayao,Apayao (Legislative District),Kabugao (Capital) (Apayao),Apayao 1st District Engineering Office,P00726654LZ,Construction of Revetment,2023,23PB0002," ?49,000,000.00 "," ?49,000,000.00 ",9/8/2023,Tagel Corporation , E.C.V. Construction,,2,2/19/2023,Kabugao
Luzon,Cordillera Administrative Region,Apayao,Apayao (Legislative District),Kabugao (Capital) (Apayao),Apayao 1st District Engineering Office,P00726098LZ,Construction of Revetment,2023,23PB0017," ?49,000,000.00 "," ?49,000,000.00 ",11/22/2023,Pbo Construction Company , R.S. Sepian Construction & Trucking,,2,4/6/2023,Kabugao
Luzon,Cordillera Administrative Region,Apayao,Apayao (Legislative District),Kabugao (Capital) (Apayao),Apayao 1st District Engineering Office,P00726653LZ,Construction of Revetment,2023,23PB0014," ?49,000,000.00 "," ?49,000,000.00 ",12/7/2023,Cmg Jr. Builders , Prime Master Const. And Dev'T. Corp.,,2,4/6/2023,Kabugao
Luzon,Cordillera Administrative Region,Benguet,Benguet (Legislative District),,Benguet 1st District Engineering Office,P00525553LZ,Construction of Flood Mitigation Structure,2021,21PE0056," ?81,078,319.98 "," ?80,869,305.14 ",12/20/2022,Kvc Construction , Universal De Leon Construction And Aggregates,,2,6/23/2021,La Trinidad
Luzon,Cordillera Administrative Region,Benguet,Benguet (Legislative District),,Benguet 2nd District Engineering Office,P00561461LZ,Construction of Flood Mitigation Structure,2021,21P00063," ?96,487,461.50 "," ?96,500,000.00 ",3/15/2023,Tryst Builders Enterprises , Rodekom General Construction And Enterprise,,2,7/2/2021,La Trinidad
Luzon,Cordillera Administrative Region,Benguet,Benguet (Legislative District),,Benguet 2nd District Engineering Office,P00561458LZ,Construction of Flood Mitigation Structure,2021,21P00065," ?96,486,192.70 "," ?96,500,000.00 ",9/3/2022,Rodekom General Construction And Enterprise,,,1,1/7/2022,La Trinidad
Luzon,Cordillera Administrative Region,Benguet,Benguet (Legislative District),,Benguet 2nd District Engineering Office,P00561459LZ,Construction of Flood Mitigation Structure,2021,21P00064," ?96,496,794.18 "," ?96,500,000.00 ",12/3/2022,Jomarcann General Construction , Egb Construction Corporation (Formerly: Egb Construction),,2,1/7/2022,La Trinidad
Luzon,Cordillera Administrative Region,Benguet,Benguet (Legislative District),,Benguet 2nd District Engineering Office,P00561460LZ,Construction of Flood Mitigation Structure,2021,21P00084," ?96,495,738.04 "," ?96,372,298.90 ",12/8/2022,Rodekom General Construction And Enterprise , Kalahan General Construction And Supplies,,2,1/7/2022,La Trinidad
Luzon,Cordillera Administrative Region,Benguet,Benguet (Legislative District),,Benguet 2nd District Engineering Office,P00561462LZ,Construction of Flood Mitigation Structure,2021,21P00050," ?96,493,651.00 "," ?96,500,000.00 ",9/3/2022,4Rmconstruction & Supplies , R.S. Sepian Construction & Trucking,,2,1/7/2022,La Trinidad
Luzon,Cordillera Administrative Region,Benguet,Benguet (Legislative District),,Benguet 2nd District Engineering Office,P00525907LZ,Construction of Flood Mitigation Structure,2021,21PF0022," ?29,400,000.00 "," ?23,831,587.47 ",12/14/2022,Malco Construction,,,1,1/16/2022,La Trinidad
Luzon,Cordillera Administrative Region,Benguet,Benguet (Legislative District),,Benguet 2nd District Engineering Office,P00525909LZ,Construction of Flood Mitigation Structure,2021,21PF0024," ?9,800,000.00 "," ?9,750,603.31 ",7/2/2022,Donato - Sakiwat Construction,,,1,1/16/2022,La Trinidad
Luzon,Cordillera Administrative Region,Benguet,Benguet (Legislative District),,Benguet 2nd District Engineering Office,P00525910LZ,Construction of Flood Mitigation Structure,2021,21PF0031," ?9,800,000.00 "," ?9,505,756.45 ",12/8/2022,Timenclean Builders And Aggregates,,,1,1/16/2022,La Trinidad
Luzon,Cordillera Administrative Region,Benguet,Benguet (Legislative District),,Benguet 2nd District Engineering Office,P00526376LZ,Construction of Flood Mitigation Structure,2021,21PF0017," ?29,400,000.00 "," ?29,377,392.06 ",7/18/2022,Btcjr Construction And Engineering Services,,,1,1/16/2022,La Trinidad
Luzon,Cordillera Administrative Region,Benguet,Benguet (Legislative District),,Benguet 2nd District Engineering Office,P00525914LZ,Construction of Flood Mitigation Structure,2021,21PF0021," ?9,800,000.00 "," ?8,704,178.48 ",9/2/2022,Akip Construction And Enterprise,,,1,1/18/2022,La Trinidad
Luzon,Cordillera Administrative Region,Benguet,Benguet (Legislative District),,Benguet 2nd District Engineering Office,P00526380LZ,Construction of Flood Mitigation Structure,2021,21PF0016," ?19,600,000.00 "," ?19,600,000.00 ",7/22/2022,Aaal Construction,,,1,1/19/2022,La Trinidad
Luzon,Cordillera Administrative Region,Benguet,Benguet (Legislative District),,Benguet 2nd District Engineering Office,P00525908LZ,Construction of Flood Mitigation Structure,2021,21PF0025," ?29,400,000.00 "," ?29,400,000.00 ",10/20/2022,Layad General Engineering Construction And Aggregates,,,1,2/20/2022,La Trinidad
Luzon,Cordillera Administrative Region,Benguet,Benguet (Legislative District),,Benguet 2nd District Engineering Office,P00526377LZ,Construction of Flood Mitigation Structure,2021,21PF0026," ?29,400,000.00 "," ?29,400,000.00 ",9/29/2022,Norjohn Construction,,,1,2/27/2022,La Trinidad
Luzon,Cordillera Administrative Region,Benguet,Benguet (Legislative District),,Benguet 2nd District Engineering Office,P00525911LZ,Construction of Flood Mitigation Structure,2021,21PF0030," ?11,649,260.00 "," ?11,489,414.45 ",12/2/2022,Family Circle Construction,,,1,3/13/2022,La Trinidad
Luzon,Cordillera Administrative Region,Benguet,Benguet (Legislative District),La Trinidad (Capital) (Benguet),Benguet 1st District Engineering Office,P00620473LZ,Construction of Flood Mitigation Structure,2022,22PE0010," ?24,500,000.00 "," ?24,487,767.70 ",11/25/2022,D.G.O. Construction,,,1,1/31/2022,La Trinidad
Luzon,Cordillera Administrative Region,Benguet,Benguet (Legislative District),La Trinidad (Capital) (Benguet),Benguet 1st District Engineering Office,P00620474LZ,Construction of Flood Mitigation Structure,2022,22PE0011," ?24,500,000.00 "," ?24,489,189.70 ",8/11/2022,D.G.O. Construction,,,1,1/31/2022,La Trinidad
Luzon,Cordillera Administrative Region,Benguet,Benguet (Legislative District),La Trinidad (Capital) (Benguet),Benguet 1st District Engineering Office,P00639443LZ,Construction of Flood Mitigation Structure,2022,22PE0073," ?2,940,000.00 "," ?2,930,210.39 ",11/8/2022,Polo Engineering & Construction,,,1,7/11/2022,La Trinidad
Luzon,Cordillera Administrative Region,Benguet,Benguet (Legislative District),La Trinidad (Capital) (Benguet),Benguet 1st District Engineering Office,P00639452LZ,Rehabilitation / Major Repair of Drainage Structure,2022,22PE0155," ?2,940,000.00 "," ?2,934,796.40 ",2/7/2023,8-10 Nehemiah Construction,,,1,10/21/2022,La Trinidad
Luzon,Cordillera Administrative Region,Benguet,Benguet (Legislative District),La Trinidad (Capital) (Benguet),Benguet 1st District Engineering Office,P00726406LZ,Construction of Flood Mitigation Structure,2023,23PE0016," ?77,200,000.00 "," ?77,190,000.00 ",11/12/2023,Mg Samidan Construction , Jmjd Construction And Aggregates,,2,2/27/2023,La Trinidad
Luzon,Cordillera Administrative Region,Benguet,Benguet (Legislative District),La Trinidad (Capital) (Benguet),Benguet 1st District Engineering Office,P00726407LZ,Construction of Flood Mitigation Structure,2023,23PE0018," ?96,500,000.00 "," ?96,480,000.00 ",12/22/2023,Universal De Leon Construction And Aggregates,,,1,2/27/2023,La Trinidad
Luzon,Cordillera Administrative Region,Benguet,Benguet (Legislative District),La Trinidad (Capital) (Benguet),Benguet 1st District Engineering Office,P00821126LZ,Construction of Flood Mitigation Structure,2024,24PE0025," ?86,850,000.00 "," ?86,820,000.00 ",11/22/2024,Aksum Contracting Corporation,,,1,2/21/2024,La Trinidad
Luzon,Cordillera Administrative Region,Benguet,Benguet (Legislative District),Kabayan (Benguet),Benguet 1st District Engineering Office,P00620996LZ,Construction of Flood Mitigation Structure,2022,22PE0009," ?24,500,000.00 "," ?24,447,245.69 ",7/29/2022,Cabuguiasan Builders,,,1,1/31/2022,La Trinidad
Luzon,Cordillera Administrative Region,Benguet,Benguet (Legislative District),Kabayan (Benguet),Benguet 1st District Engineering Office,P00620997LZ,Construction of Flood Mitigation Structure,2022,22PE0008," ?24,500,000.00 "," ?24,445,135.58 ",11/14/2022,Cabuguiasan Builders,,,1,5/10/2022,La Trinidad
Luzon,Cordillera Administrative Region,Benguet,Benguet (Legislative District),Kabayan (Benguet),Benguet 1st District Engineering Office,P00639447LZ,Construction of Flood Mitigation Structure,2022,22PE0066," ?9,800,000.00 "," ?9,679,857.68 ",11/21/2022,Aroboan Construction And Supply,,,1,7/19/2022,La Trinidad
Luzon,Cordillera Administrative Region,Benguet,Benguet (Legislative District),Kabayan (Benguet),Benguet 1st District Engineering Office,P00639448LZ,Construction of Flood Mitigation Structure,2022,22PE0071," ?9,800,000.00 "," ?9,793,460.31 ",1/24/2023,Aroboan Construction And Supply,,,1,7/26/2022,La Trinidad
Luzon,Cordillera Administrative Region,Benguet,Benguet (Legislative District),Kabayan (Benguet),Benguet 1st District Engineering Office,P00639441LZ,Construction of Flood Mitigation Structure,2022,22PE0099," ?2,940,000.00 "," ?2,919,512.60 ",12/20/2022,Qpj General Engineering Construction And Supply,,,1,8/16/2022,La Trinidad
Luzon,Cordillera Administrative Region,Benguet,Benguet (Legislative District),Kabayan (Benguet),Benguet 1st District Engineering Office,P00639450LZ,Construction of Flood Mitigation Structure,2022,22PE0145," ?2,940,000.00 "," ?2,937,836.00 ",11/11/2022,Chrishua Construction Services,,,1,9/19/2022,La Trinidad
Luzon,Cordillera Administrative Region,Benguet,Benguet (Legislative District),Kabayan (Benguet),Benguet 1st District Engineering Office,P00821531LZ,Construction of Flood Mitigation Structure,2024,24PE0024," ?39,200,000.00 "," ?39,193,427.02 ",10/8/2024,Universal De Leon Construction And Aggregates,,,1,2/21/2024,La Trinidad
Luzon,Cordillera Administrative Region,Benguet,Benguet (Legislative District),Kabayan (Benguet),Benguet 1st District Engineering Office,P00820735LZ,Construction of Flood Mitigation Structure,2024,24PE0039," ?29,400,000.00 "," ?29,396,000.00 ",11/19/2024,Chrishua Construction Services,,,1,4/18/2024,La Trinidad
Luzon,Cordillera Administrative Region,Benguet,Benguet (Legislative District),Itogon (Benguet),Benguet 1st District Engineering Office,P00620999LZ,Construction of Flood Mitigation Structure,2022,22PE0002," ?24,500,000.00 "," ?24,500,000.00 ",8/12/2022,Gsixty Construction Services,,,1,1/31/2022,La Trinidad
Luzon,Cordillera Administrative Region,Benguet,Benguet (Legislative District),Itogon (Benguet),Benguet 1st District Engineering Office,P00620995LZ,Construction of Flood Mitigation Structure,2022,22PE0012," ?24,500,000.00 "," ?24,500,000.00 ",11/12/2022,Cliff Construction & Aggregates,,,1,5/10/2022,La Trinidad
Luzon,Cordillera Administrative Region,Benguet,Benguet (Legislative District),Itogon (Benguet),Benguet 1st District Engineering Office,P00620998LZ,Construction of Flood Mitigation Structure,2022,22PE0001," ?24,500,000.00 "," ?24,500,000.00 ",3/15/2023,Gsixty Construction Services,,,1,5/10/2022,La Trinidad
Luzon,Cordillera Administrative Region,Benguet,Benguet (Legislative District),Itogon (Benguet),Benguet 1st District Engineering Office,P00639442LZ,Construction of Flood Mitigation Structure,2022,22PE0078," ?1,960,000.00 "," ?1,957,356.76 ",9/14/2022,Ninety One Builders,,,1,7/18/2022,La Trinidad
Luzon,Cordillera Administrative Region,Benguet,Benguet (Legislative District),Itogon (Benguet),Benguet 1st District Engineering Office,P00639446LZ,Construction of Flood Mitigation Structure,2022,22PE0072," ?5,390,000.00 "," ?5,289,578.40 ",11/4/2022,Ninety One Builders,,,1,7/18/2022,La Trinidad
Luzon,Cordillera Administrative Region,Benguet,Benguet (Legislative District),Itogon (Benguet),Benguet 1st District Engineering Office,P00639444LZ,Construction of Slope Protection Structure,2022,22PE0076," ?2,940,000.00 "," ?2,936,230.11 ",11/12/2022,Cleb Construction,,,1,9/19/2022,La Trinidad
Luzon,Cordillera Administrative Region,Benguet,Benguet (Legislative District),Itogon (Benguet),Benguet 1st District Engineering Office,P00821130LZ,Construction of Flood Mitigation Structure,2024,24PE0010," ?59,830,000.00 "," ?59,820,000.00 ",11/25/2024,Universal De Leon Construction And Aggregates , Tsai Shen Construction,,2,3/19/2024,La Trinidad
Luzon,Cordillera Administrative Region,Benguet,Benguet (Legislative District),Tuba (Benguet),Benguet 1st District Engineering Office,P00621001LZ,Construction of Flood Mitigation Structure,2022,22PE0005," ?24,500,000.00 "," ?24,113,608.31 ",8/5/2022,Sej Construction & Aggregates,,,1,1/31/2022,La Trinidad
Luzon,Cordillera Administrative Region,Benguet,Benguet (Legislative District),Tuba (Benguet),Benguet 1st District Engineering Office,P00621002LZ,Construction of Flood Mitigation Structure,2022,22PE0004," ?12,740,000.00 "," ?12,523,558.95 ",10/18/2022,J-Nine-Infinity Builders And Supplies,,,1,1/31/2022,La Trinidad
Luzon,Cordillera Administrative Region,Benguet,Benguet (Legislative District),Tuba (Benguet),Benguet 1st District Engineering Office,P00824846LZ,Construction of Flood Mitigation Structure,2024,24PE0054," ?84,920,000.00 "," ?84,877,709.32 ",3/2/2025,Mg Samidan Construction,,,1,6/3/2024,La Trinidad
Luzon,Cordillera Administrative Region,Benguet,Baguio City (Legislative District),Baguio City (Benguet),Baguio City District Engineering Office,P00620993LZ,Construction of Drainage Structure,2022,22PD0020," ?49,000,000.00 "," ?49,000,000.00 ",11/7/2022,Goldrich Construction & Trading,,,1,2/11/2022,La Trinidad
Luzon,Cordillera Administrative Region,Benguet,Baguio City (Legislative District),Baguio City (Benguet),Baguio City District Engineering Office,P00620994LZ,Construction of Drainage Structure,2022,22PD0021," ?17,640,000.00 "," ?16,673,974.44 ",10/13/2022,A.R.J. Civil Engineering Construction,,,1,3/13/2022,La Trinidad
Luzon,Cordillera Administrative Region,Benguet,Baguio City (Legislative District),Baguio City (Benguet),Baguio City District Engineering Office,P00620992LZ,Construction of Revetment,2022,22PD0019," ?49,000,000.00 "," ?49,000,000.00 ",1/20/2023,Goldrich Construction & Trading,,,1,3/21/2022,La Trinidad
Luzon,Cordillera Administrative Region,Benguet,Baguio City (Legislative District),Baguio City (Benguet),Baguio City District Engineering Office,P00620991LZ,Construction of Revetment,2022,22PD0018," ?49,000,000.00 "," ?49,000,000.00 ",1/20/2023,Goldrich Construction & Trading,,,1,4/10/2022,La Trinidad
Luzon,Cordillera Administrative Region,Benguet,Baguio City (Legislative District),Baguio City (Benguet),Baguio City District Engineering Office,P00726403LZ,Construction of Flood Mitigation Structure,2023,23PD0055," ?82,025,000.00 "," ?82,025,000.00 ",11/27/2023,Goldrich Construction & Trading,,,1,2/10/2023,La Trinidad
Luzon,Cordillera Administrative Region,Benguet,Baguio City (Legislative District),Baguio City (Benguet),Baguio City District Engineering Office,P00726404LZ,Construction of Revetment,2023,23PD0057," ?126,200,000.00 "," ?77,200,000.00 ",11/27/2023,Goldrich Construction & Trading,,,1,2/10/2023,La Trinidad
Luzon,Cordillera Administrative Region,Benguet,Baguio City (Legislative District),Baguio City (Benguet),Baguio City District Engineering Office,P00726405LZ,Construction of Revetment,2023,23PD0056," ?67,550,000.00 "," ?67,550,000.00 ",11/27/2023,Goldrich Construction & Trading,,,1,2/10/2023,La Trinidad
Luzon,Cordillera Administrative Region,Benguet,Baguio City (Legislative District),Baguio City (Benguet),Baguio City District Engineering Office,P00726656LZ,Construction of Revetment,2023,23PD0057,," ?49,000,000.00 ",11/27/2023,Goldrich Construction & Trading,,,1,2/10/2023,La Trinidad
Luzon,Cordillera Administrative Region,Benguet,Baguio City (Legislative District),Baguio City (Benguet),Baguio City District Engineering Office,P00821132LZ,Construction of Flood Mitigation Structure,2024,24PD0024," ?96,500,000.00 "," ?96,500,000.00 ",7/29/2024,Goldrich Construction & Trading,,,1,2/13/2024,La Trinidad
Luzon,Cordillera Administrative Region,Benguet,Baguio City (Legislative District),Baguio City (Benguet),Baguio City District Engineering Office,P00821133LZ,Construction of Flood Mitigation Structure,2024,24PD0027," ?145,500,000.00 "," ?96,500,000.00 ",7/29/2024,Goldrich Construction & Trading,,,1,3/15/2024,La Trinidad
Luzon,Cordillera Administrative Region,Benguet,Baguio City (Legislative District),Baguio City (Benguet),Baguio City District Engineering Office,P00821529LZ,Construction of Flood Mitigation Structure,2024,24PD0027,," ?49,000,000.00 ",7/29/2024,Goldrich Construction & Trading,,,1,3/15/2024,La Trinidad
Luzon,Cordillera Administrative Region,Benguet,Benguet (Legislative District),Bakun (Benguet),Benguet 2nd District Engineering Office,P00620478LZ,Construction of Flood Mitigation Structure,2022,22PF0023," ?24,500,000.00 "," ?24,500,000.00 ",11/6/2022,Judan Builders,,,1,3/7/2022,La Trinidad
Luzon,Cordillera Administrative Region,Benguet,Benguet (Legislative District),Bakun (Benguet),Benguet 2nd District Engineering Office,P00620476LZ,Construction of Flood Mitigation Structure,2022,22PF0021," ?24,500,000.00 "," ?24,500,000.00 ",10/13/2022,M.P. Taberao Construction Services And Supplies,,,1,4/12/2022,La Trinidad
Luzon,Cordillera Administrative Region,Benguet,Benguet (Legislative District),Bakun (Benguet),Benguet 2nd District Engineering Office,P00639457LZ,Construction of Flood Mitigation Structure,2022,22PF0050," ?19,600,000.00 "," ?19,600,000.00 ",9/30/2022,Apaklo Kin Construction And Eng'G Services,,,1,4/17/2022,La Trinidad
Luzon,Cordillera Administrative Region,Benguet,Benguet (Legislative District),Atok (Benguet),Benguet 2nd District Engineering Office,P00620479LZ,Construction of Flood Mitigation Structure,2022,22PF0024," ?24,500,000.00 "," ?24,500,000.00 ",9/5/2022,Olsim Construction,,,1,3/7/2022,La Trinidad
